filename,digit,font,foreground,background
hw_0000_num_3_font_MaruBuri-Bold_fg_BLUE_bg_VIOLET.png,3,MaruBuri-Bold,BLUE,VIOLET
hw_0001_num_1_font_MaruBuri-SemiBold_fg_ORANGE_bg_YELLOW.png,1,MaruBuri-SemiBold,ORANGE,YELLOW
hw_0002_num_1_font_MaruBuri-SemiBold_fg_VIOLET_bg_YELLOW.png,1,MaruBuri-SemiBold,VIOLET,YELLOW
hw_0003_num_6_font_MaruBuri-ExtraLight_fg_YELLOW_bg_BLUE.png,6,MaruBuri-ExtraLight,YELLOW,BLUE
hw_0004_num_0_font_MaruBuri-ExtraLight_fg_GREEN_bg_YELLOW.png,0,MaruBuri-ExtraLight,GREEN,YELLOW
hw_0005_num_3_font_MaruBuri-Bold_fg_INDIGO_bg_BLUE.png,3,MaruBuri-Bold,INDIGO,BLUE
hw_0006_num_8_font_MaruBuri-SemiBold_fg_ORANGE_bg_GREEN.png,8,MaruBuri-SemiBold,ORANGE,GREEN
hw_0007_num_0_font_MaruBuri-SemiBold_fg_INDIGO_bg_ORANGE.png,0,MaruBuri-SemiBold,INDIGO,ORANGE
hw_0008_num_3_font_MaruBuri-SemiBold_fg_GREEN_bg_BLUE.png,3,MaruBuri-SemiBold,GREEN,BLUE
hw_0009_num_6_font_MaruBuri-Bold_fg_RED_bg_GREEN.png,6,MaruBuri-Bold,RED,GREEN
hw_0010_num_7_font_MaruBuri-SemiBold_fg_ORANGE_bg_INDIGO.png,7,MaruBuri-SemiBold,ORANGE,INDIGO
hw_0011_num_4_font_MaruBuri-ExtraLight_fg_BLUE_bg_GREEN.png,4,MaruBuri-ExtraLight,BLUE,GREEN
hw_0012_num_2_font_MaruBuri-Light_fg_RED_bg_YELLOW.png,2,MaruBuri-Light,RED,YELLOW
hw_0013_num_5_font_MaruBuri-Regular_fg_YELLOW_bg_VIOLET.png,5,MaruBuri-Regular,YELLOW,VIOLET
hw_0014_num_2_font_MaruBuri-Bold_fg_ORANGE_bg_GREEN.png,2,MaruBuri-Bold,ORANGE,GREEN
hw_0015_num_5_font_MaruBuri-ExtraLight_fg_GREEN_bg_VIOLET.png,5,MaruBuri-ExtraLight,GREEN,VIOLET
hw_0016_num_1_font_MaruBuri-Light_fg_INDIGO_bg_VIOLET.png,1,MaruBuri-Light,INDIGO,VIOLET
hw_0017_num_1_font_MaruBuri-Regular_fg_INDIGO_bg_YELLOW.png,1,MaruBuri-Regular,INDIGO,YELLOW
hw_0018_num_5_font_MaruBuri-SemiBold_fg_GREEN_bg_VIOLET.png,5,MaruBuri-SemiBold,GREEN,VIOLET
hw_0019_num_4_font_MaruBuri-ExtraLight_fg_GREEN_bg_RED.png,4,MaruBuri-ExtraLight,GREEN,RED
hw_0020_num_7_font_MaruBuri-SemiBold_fg_YELLOW_bg_BLUE.png,7,MaruBuri-SemiBold,YELLOW,BLUE
hw_0021_num_1_font_MaruBuri-Light_fg_YELLOW_bg_VIOLET.png,1,MaruBuri-Light,YELLOW,VIOLET
hw_0022_num_1_font_MaruBuri-SemiBold_fg_BLUE_bg_RED.png,1,MaruBuri-SemiBold,BLUE,RED
hw_0023_num_4_font_MaruBuri-SemiBold_fg_VIOLET_bg_ORANGE.png,4,MaruBuri-SemiBold,VIOLET,ORANGE
hw_0024_num_5_font_MaruBuri-SemiBold_fg_GREEN_bg_RED.png,5,MaruBuri-SemiBold,GREEN,RED
hw_0025_num_3_font_MaruBuri-ExtraLight_fg_GREEN_bg_INDIGO.png,3,MaruBuri-ExtraLight,GREEN,INDIGO
hw_0026_num_0_font_MaruBuri-Bold_fg_ORANGE_bg_RED.png,0,MaruBuri-Bold,ORANGE,RED
hw_0027_num_4_font_MaruBuri-ExtraLight_fg_ORANGE_bg_BLUE.png,4,MaruBuri-ExtraLight,ORANGE,BLUE
hw_0028_num_3_font_MaruBuri-ExtraLight_fg_ORANGE_bg_GREEN.png,3,MaruBuri-ExtraLight,ORANGE,GREEN
hw_0029_num_6_font_MaruBuri-Regular_fg_GREEN_bg_VIOLET.png,6,MaruBuri-Regular,GREEN,VIOLET
hw_0030_num_7_font_MaruBuri-Regular_fg_GREEN_bg_VIOLET.png,7,MaruBuri-Regular,GREEN,VIOLET
hw_0031_num_2_font_MaruBuri-Regular_fg_GREEN_bg_BLUE.png,2,MaruBuri-Regular,GREEN,BLUE
hw_0032_num_5_font_MaruBuri-Bold_fg_VIOLET_bg_YELLOW.png,5,MaruBuri-Bold,VIOLET,YELLOW
hw_0033_num_4_font_MaruBuri-ExtraLight_fg_INDIGO_bg_RED.png,4,MaruBuri-ExtraLight,INDIGO,RED
hw_0034_num_9_font_MaruBuri-Bold_fg_GREEN_bg_ORANGE.png,9,MaruBuri-Bold,GREEN,ORANGE
hw_0035_num_8_font_MaruBuri-Bold_fg_GREEN_bg_ORANGE.png,8,MaruBuri-Bold,GREEN,ORANGE
hw_0036_num_2_font_MaruBuri-Light_fg_INDIGO_bg_ORANGE.png,2,MaruBuri-Light,INDIGO,ORANGE
hw_0037_num_6_font_MaruBuri-Regular_fg_GREEN_bg_INDIGO.png,6,MaruBuri-Regular,GREEN,INDIGO
hw_0038_num_8_font_MaruBuri-Bold_fg_BLUE_bg_VIOLET.png,8,MaruBuri-Bold,BLUE,VIOLET
hw_0039_num_5_font_MaruBuri-ExtraLight_fg_ORANGE_bg_GREEN.png,5,MaruBuri-ExtraLight,ORANGE,GREEN
hw_0040_num_3_font_MaruBuri-ExtraLight_fg_ORANGE_bg_INDIGO.png,3,MaruBuri-ExtraLight,ORANGE,INDIGO
hw_0041_num_5_font_MaruBuri-Light_fg_GREEN_bg_INDIGO.png,5,MaruBuri-Light,GREEN,INDIGO
hw_0042_num_4_font_MaruBuri-ExtraLight_fg_VIOLET_bg_INDIGO.png,4,MaruBuri-ExtraLight,VIOLET,INDIGO
hw_0043_num_3_font_MaruBuri-SemiBold_fg_VIOLET_bg_GREEN.png,3,MaruBuri-SemiBold,VIOLET,GREEN
hw_0044_num_5_font_MaruBuri-Bold_fg_RED_bg_INDIGO.png,5,MaruBuri-Bold,RED,INDIGO
hw_0045_num_7_font_MaruBuri-Light_fg_BLUE_bg_ORANGE.png,7,MaruBuri-Light,BLUE,ORANGE
hw_0046_num_7_font_MaruBuri-Bold_fg_VIOLET_bg_BLUE.png,7,MaruBuri-Bold,VIOLET,BLUE
hw_0047_num_4_font_MaruBuri-Bold_fg_ORANGE_bg_RED.png,4,MaruBuri-Bold,ORANGE,RED
hw_0048_num_3_font_MaruBuri-SemiBold_fg_GREEN_bg_BLUE.png,3,MaruBuri-SemiBold,GREEN,BLUE
hw_0049_num_8_font_MaruBuri-Regular_fg_RED_bg_BLUE.png,8,MaruBuri-Regular,RED,BLUE
hw_0050_num_9_font_MaruBuri-Light_fg_VIOLET_bg_BLUE.png,9,MaruBuri-Light,VIOLET,BLUE
hw_0051_num_9_font_MaruBuri-Light_fg_RED_bg_VIOLET.png,9,MaruBuri-Light,RED,VIOLET
hw_0052_num_5_font_MaruBuri-Bold_fg_RED_bg_GREEN.png,5,MaruBuri-Bold,RED,GREEN
hw_0053_num_2_font_MaruBuri-SemiBold_fg_VIOLET_bg_YELLOW.png,2,MaruBuri-SemiBold,VIOLET,YELLOW
hw_0054_num_7_font_MaruBuri-ExtraLight_fg_YELLOW_bg_RED.png,7,MaruBuri-ExtraLight,YELLOW,RED
hw_0055_num_0_font_MaruBuri-ExtraLight_fg_YELLOW_bg_RED.png,0,MaruBuri-ExtraLight,YELLOW,RED
hw_0056_num_2_font_MaruBuri-Bold_fg_YELLOW_bg_BLUE.png,2,MaruBuri-Bold,YELLOW,BLUE
hw_0057_num_6_font_MaruBuri-SemiBold_fg_ORANGE_bg_VIOLET.png,6,MaruBuri-SemiBold,ORANGE,VIOLET
hw_0058_num_1_font_MaruBuri-Light_fg_ORANGE_bg_RED.png,1,MaruBuri-Light,ORANGE,RED
hw_0059_num_6_font_MaruBuri-SemiBold_fg_GREEN_bg_VIOLET.png,6,MaruBuri-SemiBold,GREEN,VIOLET
hw_0060_num_7_font_MaruBuri-SemiBold_fg_RED_bg_GREEN.png,7,MaruBuri-SemiBold,RED,GREEN
hw_0061_num_4_font_MaruBuri-SemiBold_fg_ORANGE_bg_RED.png,4,MaruBuri-SemiBold,ORANGE,RED
hw_0062_num_0_font_MaruBuri-ExtraLight_fg_VIOLET_bg_INDIGO.png,0,MaruBuri-ExtraLight,VIOLET,INDIGO
hw_0063_num_8_font_MaruBuri-Regular_fg_BLUE_bg_YELLOW.png,8,MaruBuri-Regular,BLUE,YELLOW
hw_0064_num_5_font_MaruBuri-ExtraLight_fg_GREEN_bg_INDIGO.png,5,MaruBuri-ExtraLight,GREEN,INDIGO
hw_0065_num_4_font_MaruBuri-Light_fg_YELLOW_bg_RED.png,4,MaruBuri-Light,YELLOW,RED
hw_0066_num_2_font_MaruBuri-Light_fg_YELLOW_bg_BLUE.png,2,MaruBuri-Light,YELLOW,BLUE
hw_0067_num_0_font_MaruBuri-Regular_fg_VIOLET_bg_INDIGO.png,0,MaruBuri-Regular,VIOLET,INDIGO
hw_0068_num_8_font_MaruBuri-Bold_fg_YELLOW_bg_RED.png,8,MaruBuri-Bold,YELLOW,RED
hw_0069_num_8_font_MaruBuri-ExtraLight_fg_BLUE_bg_ORANGE.png,8,MaruBuri-ExtraLight,BLUE,ORANGE
hw_0070_num_4_font_MaruBuri-SemiBold_fg_VIOLET_bg_INDIGO.png,4,MaruBuri-SemiBold,VIOLET,INDIGO
